id,marca,produto,descricao,preco,url_produto,categoria_original,categoria,volume
9949d0b0-3237-4a14-9550-c0716db20de5,Adcos,Protetor Solar Stick Tonalizante FPS 80 - Ivory - 17g,"O número 1 em prescrições médicas. O Protetor Solar Stick FPS 80 oferece muita alta proteção contra a radiação UVB, UVA curto, UVA longo e UVA ultralongo e proteção contra luz visível, e infravermelho com uma cobertura perfeita e imediata das imperfeições. Hidrata profundamente, preenche rugas, reduz manchas e preserva o colágeno. Com textura que desliza sobre a pele e fácil de espalhar, não deixa a pele pegajosa e é muito resistente à água e suor.","R$ 175,00",https://www.lojaadcos.com.br/protetor-solar-stick-fps80/p?skuId=2000579,Tonalizantes,Tonalizante,17g
ebf5a595-16d1-4567-beef-eed30ff7bbb0,Adcos,Refil Protetor Solar Pó Compacto com Ácido Hialurônico FPS 50 - Refil Translúcido,"Refil do Protetor Solar em Pó Compacto com Ácido Hialurônico. Feito com 100% de filtros minerais, tem alta proteção para a pele e gera menos resíduos ao planeta, com ação antienvelhecimento para peles normais, mistas e oleosas. Ideal para reaplicação ao longo do dia e 6 tonalidades que se adaptam à pele brasileira.","R$ 179,00",https://www.lojaadcos.com.br/refil-protetor-solar-tonalizante-fps50-pocompacto-acido-hialuronico/p?skuId=2000780,Proteção Solar,Protetor Solar,
dfd0c5c3-ebdc-4415-85da-f7a6cd5e1786,Adcos,Hyalu 6 Aqua Face e Olhos - 17g,"O 1° Ácido Hialurônico com textura Water Stick que preenche rugas, promove frescor imediato e hidrata profundamente a qualquer hora e em qualquer lugar. Com 4 tipos de AH + 2 bioestimuladores, ele auxilia no antienvelhecimento e proporciona firmeza e luminosidade para a pele.","R$ 269,00",https://www.lojaadcos.com.br/hyalu-aqua-stick/p?skuId=2001157,Hidratação,Hidratação,17g
720647a6-1a21-4df9-9b39-3a8f7d945ad3,Adcos,Protetor Solar Aqua Fluid FPS 50 - Incolor 40ml,"Prescrito por dermatologistas, o Protetor Solar Aqua Fluid FPS 50 é um protetor solar com alta proteção e controle da oleosidade e brilho por 12 horas. Além disso, previne o envelhecimento e protege o colágeno com textura fluida como a água, toque seco, imperceptível e cobertura natural sob a pele. Com ação antioleosidade e antiacne reduz a atividade das glândulas sebáceas previne a acne, reduz poros e controla o brilho excessivo.","R$ 149,00",https://www.lojaadcos.com.br/protetor-solar-aquafluid-incolor/p?skuId=2000904,Proteção Solar,Protetor Solar,40ml
117873ad-62d8-4936-be03-64aef62e4f61,Adcos,Cell Complex Área dos Olhos - Creme Concentrado Anti-Idade - 15g,"O Cell Complex Área dos Olhos é um creme anti-idade ultraconcentrado para a delicada região dos olhos que reúne os princípios ativos tecnológicos, que ativam o metabolismo celular e a renovação das células-tronco adultas cutâneas. Sua fórmula com Fator de Crescimento (IGF) promove a recuperação da pele e ativa o metabolismo das células, aumentando a produção das fibras de colágeno e elastina, promovendo a firmeza e devolvendo o aspecto jovial à pele madura.","R$ 299,00",https://www.lojaadcos.com.br/cell-complex-area-dos-olhos-15-g/p?skuId=2000052,Anti-Idade,Anti-Idade,15g
45fe6e3a-ec49-4490-a23c-7f50a12ed9a7,Adcos,Acne Solution Sabonete Secativo - 90g,"Sabonete antisséptico em barra que higieniza e promove uma esfoliação suave. Possui ação anti-inflamatória e antisseborreica, também afina a pele e evita novas lesões causadas pela acne. Ideal para a acne inflamatória, pois ajuda a minimizar as inflamações e proporciona potente ação secativa.","R$ 89,00",https://www.lojaadcos.com.br/acne-solution-sabonete-secativo-90-g/p?skuId=2000030,Pele Acneica,Pele Acneica,90g
d9990448-0e11-450a-8ae4-c9cd14a2643f,Adcos,Oily Solution Hidratante FPS 20 - 50g,"O Hidratante facial da linha Oily Solution controla a oleosidade enquanto protege contra os raios UVA e UVB. Estimula a renovação celular e uniformiza a textura e o relevo da pele, reduzindo as imperfeições comuns das peles oleosas. Contém, ainda, zinco e sílicas antibrilho que controlam a oleosidade por 8h e conferem efeito mate duradouro e imediato. Reduz a aparência dos poros dilatados e os mantém desobstruídos. Possui textura confortável e leve, livre de óleo e é rapidamente absorvido.","R$ 219,00",https://www.lojaadcos.com.br/oily-solution-hidratante-fps-20-50-g/p?skuId=2000024,Pele Oleosa,Pele Oleosa,50g
2d3b4a8c-985b-4d45-81aa-9a8b2d6e79ac,Adcos,Protetor Solar Stick Ultraleve FPS 50 - 15g - Incolor,"Protetor Solar Stick FPS 50 com toque e textura ultraleve que promove ação antioleosidade por 12 horas e redução de poros. Ideal para peles oleosas devido ao seu complexo antibrilho, esse protetor solar stick facial disfarça imperfeições, possui ação antioxidante, antiglicante, antipoluição, protege o DNA celular, tem alta proteção solar.","R$ 175,00",https://www.lojaadcos.com.br/protetor-solar-stick-ultraleve-fps50/p?skuId=2000701,Proteção Solar,Protetor Solar,15g
97481147-b147-4e73-816a-12820bb3119a,Adcos,Protetor Solar Stick Tonalizante FPS 55 - Ivory - 17g,"Recomendado por dermatologistas, o Filtro Solar Tonalizante FPS 55 Base Stick é um","R$ 175,00",https://www.lojaadcos.com.br/filtro-tonalizante-base-stick-fps-55/p?skuId=2000263,Tonalizantes,Tonalizante,17g
8a696152-8caf-4ad7-a98b-c931e5103fa0,Adcos,Neoderm Complex  Sabonete Glico-Ativo - 240ml,"O Sabonete Glico-Ativo é um sabonete multifuncional com Ácido Glicólico em sua formulação que limpa profundamente, uniformiza a textura, ilumina a pele e previne a obstrução dos poros. Promove uma esfoliação química, prepara a pele para otimizar tratamentos e facilita a permeação de ativos.","R$ 179,00",https://www.lojaadcos.com.br/neoderm-complex-sabonete-glico-ativo-240-ml/p?skuId=2000025,Anti-Idade,Anti-Idade,240ml
0a1ebe59-cc05-4901-9c7f-0a7d027581be,Adcos,Hyalu 6 Área dos Olhos - Creme Anti-Idade - 15g,"O Hyalu 6 Área Olhos possui 4 tipos de Ácido Hialurônico e 2 Bioestimuladores em sua fórmula, que hidratam profundamente de dentro para fora com longa duração e garantem formas diferentes de estimular a produção de colágeno e ácido hialurônico. Esse anti-idade para a área dos olhos rejuvenesce, preenche rugas, reduz a flacidez.","R$ 279,00",https://www.lojaadcos.com.br/hyalu-6-area-olhos/p?skuId=2000684,Anti-Idade,Anti-Idade,15g
d88cb281-bf6f-42e0-ac20-e3f146544bfe,Adcos,Hyalu Water Gel - Anti-Idade - 50g,"Hyalu Water Gel é um produto anti-idade feito para peles oleosas com 4 tipos de ácido hialurônico em sua fórmula, que promovem hidratação intensiva por 48h, tem toque imperceptível, preenche rugas e linhas, controla a oleosidade desde a primeira aplicação por 8h, reduz os poros e garante sensação de pele fresca.","R$ 319,00",https://www.lojaadcos.com.br/hyalu-water-gel/p?skuId=2000668,Hidratação,Hidratação,50g
3b87dc97-cbe2-4cf9-8a3c-bc2dae05d11c,Adcos,Acne Solution Fluido Ultra Secativo - Renovação Cutânea - 60ml,"Com poderosa ação secativa cicatrizante, o Fluido Ultra Secativo promove renovação celular e melhora a textura da pele, controlando a oleosidade e desobstruindo os poros. É um tratamento noturno que reduz a inflamação acneica, protege o colágeno e previne o reaparecimento da acne, contribuindo para uma pele renovada e iluminada.","R$ 179,00",https://www.lojaadcos.com.br/acne-solutio-fluido-ultra-secativo-60-ml/p?skuId=2000034,Pele Acneica,Pele Acneica,60ml
cf1a9ff6-1935-41b2-9947-541528c1ccf2,Adcos,Collagen Filler Up - Creme Anti-idade - 50g,"O Collagen Filler Up é um creme antienvelhecimento facial que recupera a firmeza e a sustentação da pele, hidrata e melhora os contornos faciais. Seus ativos estimulam, protegem, repõe e reparam o colágeno, sendo indicado para peles maduras e adultas.","R$ 369,00",https://www.lojaadcos.com.br/collagen-filler-up/p?skuId=2000694,Anti-Idade,Anti-Idade,50g
2eef9245-6321-4ee5-ba08-ecbd4a85ad28,Adcos,Derma Complex Concentrado Vitamina C 20 - Anti-Idade - 30ml,"O Concentrado Vitamina C 20 é o mais completo antioxidante facial. Com Vitamina C pura, ele estimula a produção de colágeno, reduz visivelmente as rugas, melhora a firmeza, protege contra os efeitos da poluição, da radiação UV. Tem ação clareadora, uniformiza o tom e aumenta a luminosidade da pele.","R$ 319,00",https://www.lojaadcos.com.br/derma-complex-concentrado-vitaminac-20/p?skuId=2000375,Anti-Idade,Anti-Idade,30ml
