produto,marca,categoria,categoria_original,descricao,id,preco,url_produto,volume
Dupla Vitamina C,Sallve,Rosto,Loja Sallve,,00942479-b9a3-4524-b4ef-8698e483e1a8,"R$ 169,80",https://www.sallve.com.br/products/dupla-vitamina-c,
Dupla Renovação Dia e Noite,Sallve,Rosto,Loja Sallve,,9a285984-3e7f-4f2d-adaa-ceb6f103ce75,"R$ 189,90",https://www.sallve.com.br/products/dupla-renovacao-dia-e-noite,
Dupla Anti Cravo Dia e Noite,Sallve,Rosto,Loja Sallve,,313ec0b9-0df3-446f-8bba-6571ab1bfd09,"R$ 109,90",https://www.sallve.com.br/products/dupla-anti-cravo-dia-e-noite,
Limpador Enzimático em Pó,Sallve,Rosto,Loja Sallve,"limpador em pó que forma uma espuma cremosa para limpar e esfoliar a pele em um só passo, diariamente. renova a pele e reduz cravos em 7 dias",505fd878-3ef0-4c0e-bf75-3802af6f6586,"R$ 79,90",https://www.sallve.com.br/products/limpador-enzimatico-em-po,30g
Dupla Efeito Imediato,Sallve,Rosto,Loja Sallve,,a27c0ee8-6bde-4692-8268-054f3f603b88,"R$ 159,90",https://www.sallve.com.br/products/dupla-efeito-imediato,
Bastão Antiolheiras Antioxidante,Sallve,Rosto,Loja Sallve,"bastão para área dos olhos com vitamina C e cafeína, que desincha bolsas, suaviza olheiras de cansaço e proporciona efeito ""geladinho""",aed6483c-6862-41e4-93f0-1952df6319d0,"R$ 99,90",https://www.sallve.com.br/products/bastao-antioxidante-para-olhos,10g
Dupla Rotina Expressa,Sallve,Rosto,Loja Sallve,,113b7db2-13e0-4ead-bad8-10c116a1cb20,"R$ 179,90",https://www.sallve.com.br/products/dupla-rotina-expressa,
Dupla de Treino,Sallve,Rosto,Loja Sallve,,525134a9-9f53-4b51-b899-d829d7526676,"R$ 139,90",https://www.sallve.com.br/products/dupla-verao-na-bolsa,
Dupla Pele Mais Lisa,Sallve,Rosto,Loja Sallve,,d3a36ed3-85d6-458c-a718-bb1a0a81c8be,"R$ 179,90",https://www.sallve.com.br/products/dupla-pele-mais-lisa,
Dupla Acorda e Vai,Sallve,Rosto,Loja Sallve,,7d43ac1f-9497-4acb-9e1c-af06372e2ec2,"R$ 165,90",https://www.sallve.com.br/products/dupla-acorda-e-vai,
Dupla de Treino - com cor,Sallve,Rosto,Loja Sallve,,8ff68802-42aa-4631-9ed6-e8c059b9c1bc,"R$ 169,90",https://www.sallve.com.br/products/dupla-verao-na-bolsa-com-cor,
Creme Retexturizador Noturno,Sallve,Rosto,Loja Sallve,"creme noturno para uma renovação poderosa da pele, com retinol e ácido glicólico, sem irritar até as peles mais sensíveis. uniformiza texturas irregulares, reduz linhas de expressão, poros dilatados e marcas de acne, além de trazer viço, hidratação e maciez sem igual.",a0b98766-0772-4326-b238-f5c66b908c5e,"R$ 129,90",https://www.sallve.com.br/products/creme-retexturizador-noturno,30g
Protetor Solar Bastão FPS 60 Muito Resistente,Sallve,Rosto,Loja Sallve,"protetor solar facial muito resistente à água e ao suor, ideal para uso diário e para a prática de esportes. seu formato em bastão facilita a aplicação.",cdfaebde-b78b-4953-9d18-13739b99ae14,"R$ 84,90",https://www.sallve.com.br/products/protetor-solar-bastao-fps60-muito-resistente,15g
Dupla Proteção - com e sem cor,Sallve,Rosto,Loja Sallve,,f180505c-8d75-49d2-9755-6b983d2bf427,"R$ 169,90",https://www.sallve.com.br/products/dupla-protecao-com-e-sem-cor,
Dupla Renovação e Proteção,Sallve,Rosto,Loja Sallve,,b6fdea63-627f-441e-bf60-a229831ea473,"R$ 199,90",https://www.sallve.com.br/products/dupla-renovacao-e-protecao,
Dupla Rotina Noturna,Sallve,Rosto,Loja Sallve,,04b882bb-a7dd-4e41-9369-fd54818ad841,"R$ 199,90",https://www.sallve.com.br/products/dupla-rotina-noturna,
Protetor Solar Bastão com Cor Antimanchas FPS 90,Sallve,Rosto,Loja Sallve,"protetor solar com cor em bastão, que potencializa o tratamento contra manchas solares, protegendo contra radiação UVA/UVB e luz visível. prático e disponível em 8 cores, tem cobertura média construível.",d3094fd7-2b46-4472-976c-2059594eb4f0,"R$ 99,90",https://www.sallve.com.br/products/protetor-solar-bastao-com-cor-antimanchas-fps-90,15g
Dupla Renovação e Proteção - com Cor,Sallve,Rosto,Loja Sallve,,a481abbe-2011-421c-9dee-31b540e77e28,"R$ 219,90",https://www.sallve.com.br/products/dupla-renovacao-e-protecao-com-cor,
Kit Anticravo Gentil,Sallve,Rosto,Loja Sallve,,1ab79e0b-ad5a-477b-bdba-46c8f27bb1e8,"R$ 99,90",https://www.sallve.com.br/products/kit-anticravo-gentil,
Dupla Niacinamida,Sallve,Rosto,Loja Sallve,,d0136aa7-af23-4cb4-b086-31a9d77feaac,"R$ 179,90",https://www.sallve.com.br/products/dupla-niacinamida,
Dupla Colágeno e Niacinamida 20%,Sallve,Rosto,Loja Sallve,,5e252ad5-174b-49de-a76f-0b2884ec3059,"R$ 179,90",https://www.sallve.com.br/products/dupla-colageno-e-niacinamida-20,
Dupla Retinol Dia e Noite,Sallve,Rosto,Loja Sallve,,0c44a167-1ded-4a82-8855-f10555380bd9,"R$ 128,90",https://www.sallve.com.br/products/retinol-puro-retinol-biomimetico,
Dupla Colágeno e Vitamina C,Sallve,Rosto,Loja Sallve,,4f0fe43c-ebb8-44fa-86b6-adeb703e43b3,"R$ 179,90",https://www.sallve.com.br/products/dupla-colageno-e-vitamina-c,
Dupla Colágeno e Vitamina C 20%,Sallve,Rosto,Loja Sallve,,90f4152d-1564-4b1f-b29c-5db5fd2f6a61,"R$ 225,90",https://www.sallve.com.br/products/dupla-colageno-e-vitamina-c-20,
"Dupla Colágeno e Retinol Puro 0,3%",Sallve,Rosto,Loja Sallve,,4c650595-c2e9-45cd-a6cc-2c81c4f0b82a,"R$ 179,90",https://www.sallve.com.br/products/dupla-colageno-e-retinol-puro-0-3,
Super Pró-Colágeno 10%,Sallve,Rosto,Loja Sallve,"sérum com 10% de peptídeos que atuam na síntese de colágeno para uma pele mais firme, com mais volume e contornos mais definidos.",feff32e2-f898-43d5-9181-33ed2c37fad8,"R$ 99,90",https://www.sallve.com.br/products/super-pro-colageno-10,30ml
Dupla Tratamento Área dos Olhos,Sallve,Rosto,Loja Sallve,,78cbb9a6-89d2-4191-8617-a384440e18f1,"R$ 179,90",https://www.sallve.com.br/products/dupla-tratamento-area-dos-olhos,
Dupla Proteção Resistente,Sallve,Rosto,Loja Sallve,,83502cbd-d757-45ee-961a-850056751c9b,"R$ 149,90",https://www.sallve.com.br/products/dupla-protecao-resistente,
Dupla Olhar Renovado,Sallve,Rosto,Loja Sallve,,802bb08e-c093-4d1b-b97e-e98666717e22,"R$ 160,90",https://www.sallve.com.br/products/dupla-olhar-renovado,
"Dupla Limpa, Acorda e Revigora",Sallve,Rosto,Loja Sallve,,c0526e09-a0a6-4f02-b872-b8752d2a609a,"R$ 169,90",https://www.sallve.com.br/products/dupla-limpa-acorda-e-revigora,
Dupla Vitamina C - Pele Sensível,Sallve,Rosto,Loja Sallve,,14aca8b1-375c-42cf-8b57-203cf7a407a0,"R$ 119,90",https://www.sallve.com.br/products/dupla-vitamina-c-pele-sensivel,
dupla antioleosidade dia e noite,Sallve,Rosto,Loja Sallve,,42eef8fe-c8cc-4629-8db1-df58e3bdac6e,"R$ 119,80",https://www.sallve.com.br/products/dupla-antioleosidade-dia-e-noite,
Kit Antioleosidade,Sallve,Rosto,Loja Sallve,,0ce7874d-07b3-46db-8e1f-5c0845ea0a0e,"R$ 199,90",https://www.sallve.com.br/products/kit-antioleosidade,
Hidratante Antioleosidade,Sallve,Rosto,Loja Sallve,"hidratante em textura aquagel para pele mistas e oleosas, com acabamento mate e controle de oleosidade por até 8h. a longo prazo, reduz cravos e a aparência de poros dilatados.",f17c9670-6222-4b52-84a1-67c32092d599,"R$ 74,90",https://www.sallve.com.br/products/hidratante-antioleosidade,40g
Protetor Solar FPS 60,Sallve,Rosto,Loja Sallve,"protetor solar facial com acabamento invisível e hidratante. além da radiação UV, protege contra danos da luz azul, poluição e infravermelho.",0dec2041-e89a-4c21-b81d-218ddbbbd7aa,"R$ 34,90",https://www.sallve.com.br/products/protetor-solar-fps60,40g
